CXOU J171405.7-381031,Chandra,0,1,Aharonian+2008,"CTB 37B, HESS J1713−381, a coincident TeV source ",AXP,,,,13.2,,,,,,,,,348.68,0.37,3.825352,0.000004,,6.40E-11,5E-13,,5.01E+14,,4.51E+34,,9.47E+2,sbni10,3.95E+22,1.5E+21,1.4E+21,3.45,0.09,0.08,,,,,,,,2.68E-12,9E-14,9E-14,sbni10,~,13.2,,,tl12,,5.6E+34,SNR CTB 37B,650,5000,hg10a,no,X,,17 14 05.74,0.05,-38 10 30.9,0.6,hg10b,,
CXOU J010043.1-721134,Chandra,4,1,Lamb+2002,"as a slow-spinning X-ray source, with a bright thermal or power-law spectrum",AXP,,,,62.4,,,,,,,,,301.93,-44.92,8.020392,0.000009,,1.88E-11,8E-13,,3.93E+14,,1.44E+33,,6.76E+3,mgr+05,6.3E+20,2.0E+20,1.6E+20,,,,0.30,0.02,0.02,0.68,0.09,0.07,,1.4E-13,,,tem08,,62.4,1.6,1.6,hgd12b,,6.5E+34,SMC,,,lfmp02,maybe,X,,01 00 43.14,0.13,-72 11 33.8,0.6,lfmp02,,
SGR 1833-0832,Swift BAT,,3,,,SGR,1.1196636217394022e+40,1.1309733552923257e+40,15-150,10,https://arxiv.org/pdf/1005.3029,13,,,83.56925926,104.21,,,23.34,0.02,7.5654084,0.0000004,,3.5E-12,3E-13,,1.65E+14,,3.19E+32,,3.42E+4,eit+11,,,,,,,,,,,,,<,2E-13,,,eit+11,,10,,,,,8.9e34,,,,,no,X,B,18 33 44.37,0.03,-08 31 07.5,0.4,gcl+10,,
SGR 1900+14,BATSE,0,1,Gogus+1999,,SGR,1e41,9.642678827222364e+40,25-100,12.5,https://arxiv.org/pdf/astro-ph/0301577,,,,,,,,43.02,0.77,5.19987,0.00007,,9.2E-11,4E-12,,7.00E+14,,2.58E+34,,8.96E+2,met+06b,2.12E+22,8E+20,8E+20,1.9,0.1,0.1,0.47,0.02,0.02,,,,,4.8E-12,2E-13,2E-13,met+06b,,12.5,1.7,1.7,dfk+09,,9.0E+34,Star cluster,0,0,vhl+00,maybe,HX,BF,19 07 14.33,0.01,+09 19 20.1,0.2,fkb99,,
Swift J1818.0-1607,Swift BAT,27,1,"Enoto+2020,Esposito+2020",radio-loud,SGR,,2e39,15-150,4.8,https://arxiv.org/pdf/2004.04083,10,,,,,,,356.08,-0.04,1.363490,0.000003,,9E-11,1E-11,,3.54E+14,,1.40E+36,,2.40E+2,"ATel13553, erb+20",,,,,,,,,,,,,,,,,,~,4.8,,,ATel13553,,9.6e34,,,,,no,GR,B,18 18 03.7,11.2,-16 07 31.8,162.0,GCN27384,,
4U 0142+61,UHURU,4,0,,,AXP,9.527319544982549e+39,7.838189670902962e+36,15-150,3.6,https://gcn.nasa.gov/circulars/17509,20,16,Fermi GMB catalog,,,,,129.38,-0.43,8.68869249,0.00000005,,2.022E-12,4E-15,,1.34E+14,,1.22E+32,,6.81E+4,dk14,1.00E+22,1E+20,1E+20,3.88,0.01,0.01,0.410,0.004,0.002,,,,,6.79E-11,,,rni+07,,3.6,0.4,0.4,dv06b,,1.1E+35,,,,,yes,HXOI,BG,01 46 22.407,0.028,+61 45 03.19,0.20,hvk04,,
SGR 1806-20,"Venera,Prognoz",4,934,,,SGR,1e42,2.4651684853637404e+42,20-200,14.5,https://iopscience.iop.org/article/10.1088/0004-637X/740/2/55/pdf,64,32,Fermi GMB catalog,144.468,279.58,,,10.00,-0.24,7.54773,0.00002,,4.95E-10,,,1.96E+15,,4.55E+34,,2.42E+2,wkf+07,6.9E+22,4E+21,4E+21,1.6,0.1,0.1,0.55,0.07,0.07,,,,,1.8E-11,1E-12,1E-12,emt+07b,,8.7,1.8,1.5,bcfc08,,1.6E+35,"W31, Star cluster, MC 13A",,,"cwd+97, fmc+99, ce04",yes,HXO,BF,18 08 39.337,0.004,-20 24 39.85,0.06,icm+05,,
1E 1841-045,ASCA,15,1,Vasisht&Gotthelf1997,Kes 73,AXP,,2.9e39,15-100,8.5,https://iopscience.iop.org/article/10.1088/2041-8205/725/2/L191/pdf,32,,,,,,,27.39,-0.01,11.788978,0.000001,,4.092E-11,1.5E-13,,7.03E+14,,9.86E+32,,4.57E+3,dk14,2.2E+22,1E+21,1E+21,1.9,0.2,0.2,0.45,0.03,0.03,,,,,2.13E-11,,,ks10,,8.5,1.3,1.0,tl08,,1.8E+35,SNR Kes 73,750,2100,vg97,maybe,HX,BG,18 41 19.343,0.020,-04 56 11.16,0.30,wpk+04,,
SGR 0526-66,"Vela,Prognoz,Einstein",,2,1979,LMC N49,SGR,,,,53.6,,,,,,,,,276.09,-33.25,8.0544,0.0002,,3.8E-11,1E-12,,5.60E+14,,2.87E+33,,3.36E+3,tem+09,6.04E+21,5.8E+20,5.9E+20,2.50,0.11,0.12,0.44,0.02,0.02,,,,,5.5E-13,,,phs+12,,53.6,1.2,1.2,hgd12a,,1.9E+35,"LMC, SNR N49?, SL 463",0,4800,"cdt+82, khg+04",no,X,BF,05 26 00.89,0.10,-66 04 36.3,0.6,kkm+03,,
SGR 1801-23 #,,,2,,,,,,,,,,,,,,,,6.91,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e35,,,,,no,,B,18 00 59,,-22 56 48,,cfg+00,,
SGR 1935+2154,Swift BAT,865,232,,,SGR,,2.107003360909603e+40,15-150,9,https://gcn.nasa.gov/circulars/17490,20,,,22.88666667,51.32,35.19,31.64,57.25,0.82,3.2450650,0.0000001,,1.43E-11,1E-13,,2.18E+14,,1.65E+34,,3.60E+3,ier+16,1.6E+22,2E+21,2E+21,1.8,0.5,0.5,0.47,0.02,0.02,,,,,,,,ier+16,,9,,,,,3.2e35,SNR G57.2+0.8,16000,95000,GCN16533,no,HXR,B,19 34 55.5978,0.0503,+21 53 47.7864,0.7000,ier+16,,
SGR 1808-20 #,,,,,,,,,,,,,,,,,,,9.74,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6e36,,,,,no,,B,18 08 11.2,29.5,-20 38 49,414,GCN2351,,
Name,,NICER,INTEGRAL,,,type,L_b_p,L_b(20-200),range,Dist,Ref,T90,T50,Ref,L_ob_ave,L_ob_p1,L_ob_p2,L_ob_p3,l,b,Period,Period_Err,Pdot_lim,Pdot,Pdot_Err,B_lim,B,Edot_lim,Edot,Age_lim,Age,Ref_Time,NH,NH_EUp,NH_EDn,Gamma,Gamma_EUp,Gamma_EDn,kT,kT_EUp,kT_EDn,kT2,kT2_EUp,kT2_EDn,Flux_lim,Flux,Flux_EUp,Flux_EDn,Ref_Xray,Dist_lim,Dist,Dist_EUp,Dist_EDn,Ref_Dist,Lumin_lim,Lumin,Assoc,SNR_age_min,SNR_age_max,Ref_Assoc,OptIR,Bands,Activity,RA,RA_Err,Decl,Decl_Err,Ref_Pos,,
SGR 2013+34 #,,,0,,,,,,,8.8,,,,,,,,,72.32,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~,8.8,,,sbb+11,,,W58,,,sbb+11,no,,B,20 13 56.9,7.3,+34 19 48,90,sbb+11,,
