;NAME;;P0;;;P1;;;DM;;;W50;;;S400;;;DIST;ASSOC;SNR_age_min;SNR_age_max;PSR;R_LUM;R_LUM14;AGE;BSURF;
48;J1833-1034;gmga05;0.06188365001063;1.2e-13;rgl12;2.02014996E-13;4.0e-21;rgl12;169.50;1.0e-01;crg+06;2.3;0;pkj+21;*;0;*;4.100;GRS:4FGL_J1833.5-1033[aab+22],SNR:G21.5-0.9[gmga05];1550;1800;HE;*;1.19;4.85e+03;3.58e+12;
#49;J1834-0845;kkp+12;2.48230180;1.0e-07;kkp+12;7.96E-12;1.2e-13;kkp+12;*;0;*;*;0;*;*;0;*;*;XRS:CXOU_J183452.1-084556,SNR:W41(?),GRS:HESS_J1847-087(?);60000;200000;AXP,NRAD;*;*;4.94e+03;1.42e+14;
#50;J1841-0456;vg97;11.7889784;1.0e-06;dk14;4.092E-11;1.6e-13;dk14;*;0;*;*;0;*;*;0;*;9.600;SNR:Kes73,XRS:1E_1841-045;750;2100;AXP,NRAD;*;*;4.57e+03;7.03e+14;
#51;J1844-03;tkk+98;6.9713;3.0e-04;tkk+98;*;0;*;*;0;*;*;0;*;*;0;*;*;XRS:AX_J1845-0258,XRS:CXOU_J184454.6-025653(?)[tkgg06],SNR:G29.6+0.1(?)[vgtg00];;8000;NRAD,AXP(?);*;*;*;*;
52;J1846-0258;gvbt00;0.32657128834;5.0e-11;lnk+11;7.107450E-12;3.0e-18;lnk+11;*;0;*;*;0;*;*;0;*;5.800;SNR:Kes75,XRS:[hcg03],PWN:[hcg03],GRS:[kd16];1690;1850;NRAD[kd16];*;*;728;4.88e+13;
53;J1850-0006;kel+09;2.1914979680;5.0e-10;kel+09;4.32E-15;5.0e-17;kel+09;655.0;1.8e+00;hww+21;174;1.7e+01;whx+23;*;0;*;5.831;SNR:G32.45+0.1(?);5000;9000;*;*;27.20;8.04e+06;3.11e+12;
55;B1853+01;wcd91;0.26743960987;7.0e-11;hlk+04;2.083598E-13;6.0e-19;hlk+04;96.10;1.0e-01;sjk+21;2.9;0;pkj+21;3.4;0;lylg95;3.300;SNR:W44,XRS:PWN[pks02];7900;8900;HE[lsg+15];37.03;2.07;2.03e+04;7.55e+12;
56;J1907+0602;aaa+09c;0.106632746266;5.0e-12;rkp+11;8.68208E-14;3.0e-19;rkp+11;82.1;1.1e+00;aaa+10d;*;0;*;*;0;*;2.370;GRS:4FGL_J1907.9+0602[aab+22],SNR:G40.5-0.5(?),GRS:HESS_J1908+06[aaa+10d],XRS:[rkp+11];20000;40000;HE;*;0.02;1.95e+04;3.08e+12;
57;J1907+0631;lsb+17;0.323648024490;1.9e-11;lsb+17;4.521551E-13;1.2e-18;lsb+17;429.40;1.0e-01;sjk+21;22;3.0e+00;whx+23;*;0;*;3.400;SNR:G40.5-0.5[lsb+17];0;19000;*;*;2.89;1.13e+04;1.22e+13;
#58;J1907+0919;ksh+99;5.198346;3.0e-06;met+06;9.2E-11;4.0e-12;met+06;*;0;*;*;0;*;*;0;*;*;SNR:G42.8+0.6(?),XRS:SGR_1900+14;0;;AXP,NRAD;*;*;895;7e+14;
