PWN_name,Common_name,Survey,l,b,size(deg),size_error,Flux(cm-2 s-1 TeV-1),Flux_error,Pivot,index,index_error,type
J1745-290,Galactic Centre,"HAWC, VERITAS, MAGIC, CANGAROO, Whipple, H.E.S.S.",359.9449,-0.0439	,0,,2.25e-12,4e-14,1,2.14,0.02,
J1741-301,,H.E.S.S.,358.2761,0.0502,0,,2.1e-13,4e-14,1,2.3,0.2,
J1739+099,,"HAWC, LHAASO",33.8900,20.3400,0,,3.3e-15,0.8e-15,7,1.98,0.25,
J1729-345,,H.E.S.S.,353.4437,-0.1274,0.189,0.031,8.25e-13,8.22e-14,1.16,2.43,0.09,
J1708-410,,H.E.S.S.,345.6823,-0.4688,0.064,0.006,8.88e-13,6.14e-14,1.05,2.54,0.07,
J1702-420,,H.E.S.S.,344.3039,-0.1837,0.197,0.025,1.6e-12,1.21e-13,1.7,2.09,0.07,composite
J1641-463,,H.E.S.S.,338.5228,0.0905,0,0,2.25e-13,2.3e-13,1.16,2.47,0.11,
J1634-472,,H.E.S.S.,337.1089,0.2172,0.174,0.013,1.73e-12,8.49e-14,1.4,2.31,0.05,
J1626-490,,H.E.S.S.,334.7702,0.0473,0.197,0.035,2.19e-12,2.33e-13,1.16,2.47,0.11,
J1554-550,G327.15−1.04 ,H.E.S.S.,327.16,-1.08,0,,5.79e-14,1.14e-14,2.26,2.19,0.17,
J1506-623,,H.E.S.S.,317.9455,-3.4939,0.175,0..017,5.17e-13,4.11e-14,2.26,2.22,0.07,
J1503-582,,H.E.S.S.,319.5672,0.2858,0.282,0.033,4.52e-12,2.82e-13,1.05,2.68,0.08,
J1427-608,,H.E.S.S.,314.4077,-0.1450,0,,1.01e-12,1.48e-13,0.95,2.85,0.22,
J1309-054,2,HAWC,311.1074,57.0989,0,,12.3e-15,3.5e-15,7,2.55,0.18,
J1234+567,,HAWC,39.1300,21.6800,0,,4e-15,2e-15,7,2.37,0.23,
J1040+308,2,HAWC,197.5836,61.3105,0.5,,6.6e-15,3.5e-15,7,2.08,0.25,
J0819+157,,HAWC,207.9982,26.5235,0.5,,1.6e-15,3.1e-15,7,1.5,0.67,
J0634+070,,"HAWC, LHAASO",204.8138,-0.4782,0.65,0.18,8.6e-15,3.2e-15,10,2.15,0.17,TeVHalo
J0633+191,,HAWC,193.9200,4.8500,0,,4.8e-15,0.7e-15,7,2.64,0.24,
J0631+107,,HAWC,201.0800,0.4300,0,,4e-15,2e-15,7,2.23,0.27,
J0630+186,,HAWC,193.9800,4.0200,0,,5.1e-15,3e-15,7,2.21,0.27,
J0621+382,,"HAWC, LHAASO",175.4400,10.9700,0.5,0,8.9e-15,4e-15,7,2.41,0.2,
J0534+355,,LHAASO,173.0977,1.4631,0.36,,0.19e-16,0.03e-16,50,4.89,0.53,
J0534+355,,,,,,,0.43e-13,0.11e-13,3,2.37,0.21,
J0500+449,,LHAASO,161.7110,1.5807,0.41,0.07,0.69e-13,0.16e-13,3,2.53,0.2,Gal
J0428+555,,LHAASO,150.4223,4.7318,1.18,0.12,4.73e-13,0.65e-13,3,2.66,0.1,
J0428+555,,,,,0.32,0.06,0.54e-16,0.06e-16,50,3.45,0.19,
J0359+541,,,,,0.3,0.04,0.85e-16,0.06e-16,50,3.84,0.15,
J0359+541,,LHAASO,148.2934,0.7407,0.22,0.05,0.18e-13,0.12e-13,3,1.74,0.28,
J0341+529,,LHAASO,146.9429,-1.7918,0.29,,3.7e-16,0.6e-16,40,2.98,0.19,
J0249+603,,,,,0.38,0.08,0.93e-16,009e-16,50,3.82,0.18,
J0249+603,,LHAASO,136.9928,0.7525,0.71,0.1,1.96e-13,0.51e-13,3,2.52,0.16,
J0223+430,,MAGIC,140.2480,-16.7535,0,,1.7e-11,0.9e-11,0.3,3.1,0.5,
J0216+426,,LHAASO,139.1658,-17.5477,0.13,0,0.18e-16,0.03e-16,50,2.58,0.17,
J0212+429,,LHAASO,138.2767,-17.5473,0.31,0,0.12e-16,0.03e-16,50,2.45,0.23,
J0206+431,,LHAASO,137.2469,-17.6272,4.54,0,8.1e-17,1.0e-17,50,1.95,0.19,
J0206+430,,LHAASO,137.2754,-17.7130,0.27,0,0.24e-16,0.03e-16,50,2.62,0.16,
J0056+637,,LHAASO,123.4803,0.9035,0.33,0.07,1.45e-13,0.41e-13,3,2.35,0.13,
J0007+570,,LHAASO,116.9409,-5.3591,0.18,,0.33e-16,0.05e-16,50,3.1,0.2,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
